,n_features,added_feature,auc_lr_train,auc_lr_test,auc_lgbm_train,auc_lgbm_test
0,1,post_presvote12_2012,0.9239,0.9114,0.9366,0.9222
1,2,cmatch_romn_baseline,0.937,0.9271,0.9541,0.9448
2,3,vote_generic_baseline,0.939,0.9225,0.9603,0.9593
3,4,obamaapp_baseline,0.9443,0.9272,0.9661,0.9608
4,5,healthreformbill_baseline,0.9594,0.9499,0.9716,0.9663
5,6,teapartsup_baseline,0.9602,0.952,0.9781,0.9701
6,7,post_house12_2012,0.9603,0.952,0.9787,0.9693
7,8,fav_biden_baseline,0.963,0.9558,0.9787,0.9705
8,9,healthqualch3_baseline,0.9638,0.9551,0.9785,0.9701
9,10,post_ideo5_2012,0.9637,0.9563,0.9812,0.9728
10,11,govt_reg_baseline,0.9643,0.9573,0.9814,0.9746
11,12,fav_hrc_baseline,0.9644,0.9571,0.9832,0.9743
12,13,post_pid3_2012,0.9677,0.9637,0.9832,0.9748
13,14,healthtaxch3_baseline,0.9676,0.9638,0.9832,0.9745
14,15,fav_bach_baseline,0.9718,0.965,0.9817,0.9723
15,16,fav_sant_baseline,0.9726,0.9648,0.9819,0.9737
16,17,envwarm_baseline,0.9736,0.9684,0.9822,0.9738
17,18,fav_ging_baseline,0.9738,0.969,0.9821,0.9739
18,19,fav_perr_baseline,0.9745,0.9679,0.9828,0.9732
19,20,taxwealth_baseline,0.975,0.9675,0.9828,0.9733
20,21,saysobama_baseline,0.975,0.968,0.9828,0.9733
21,22,envser2_baseline,0.9754,0.9689,0.9828,0.9733
22,23,likenewt_baseline,0.9754,0.9693,0.9827,0.9735
23,24,track_baseline,0.9766,0.969,0.9833,0.9733
24,25,econtrend_baseline,0.9767,0.9694,0.9835,0.9731
