,n_features,added_feature,auc_lr_train,auc_lr_test,auc_lgbm_train,auc_lgbm_test
0,1,obamaapp_2016,0.8838,0.8677,0.9733,0.9754
1,2,healthreformbill_2016,0.9379,0.9077,0.9877,0.987
2,3,pp_primary16_2016,0.9519,0.9292,0.9907,0.9902
3,4,pid3_2016,0.9689,0.9582,0.9923,0.9906
4,5,immi_muslim_2016,0.9739,0.9655,0.9942,0.994
5,6,view_transgender_2016,0.9763,0.9654,0.9943,0.994
6,7,immi_contribution_2016,0.9786,0.9686,0.9945,0.9945
7,8,police_threat_2016,0.9822,0.9688,0.9949,0.994
8,9,envwarm_2016,0.9855,0.9718,0.9954,0.9936
9,10,imiss_l_2016,0.9858,0.9718,0.9956,0.9934
10,11,affirmact_gen_2016,0.9863,0.9712,0.9956,0.9931
11,12,imiss_d_2016,0.9864,0.9715,0.9958,0.993
12,13,policies_favor_2016,0.9883,0.9761,0.9958,0.9925
13,14,taxdoug_2016,0.9891,0.977,0.9961,0.9927
14,15,wealth_2016,0.99,0.9785,0.9963,0.9929
15,16,immi_naturalize_2016,0.9902,0.9793,0.9964,0.993
16,17,RIGGED_SYSTEM_3_2016,0.9902,0.9798,0.9964,0.9931
17,18,gender_equality_2016,0.9904,0.9798,0.9965,0.9929
18,19,RIGGED_SYSTEM_4_2016,0.9906,0.9794,0.9967,0.9932
19,20,govt_reg_2016,0.9909,0.9803,0.9968,0.9932
20,21,gvmt_involment_2016,0.9909,0.9809,0.9968,0.9931
21,22,univhealthcov_2016,0.9911,0.9814,0.9968,0.993
